class_id,dir,start_frame,end_frame
19,"('VNvb5oLOpLg_00000',)",0,156
19,"('VNvb5oLOpLg_00001',)",0,202
19,"('VNvb5oLOpLg_00002',)",0,231
15,"('VNvb5oLOpLg_00003',)",0,129
15,"('VNvb5oLOpLg_00004',)",0,227
15,"('VNvb5oLOpLg_00005',)",0,240
19,"('VNvb5oLOpLg_00006',)",0,135
19,"('VNvb5oLOpLg_00007',)",0,236
19,"('VNvb5oLOpLg_00008',)",0,209
32,"('VNvb5oLOpLg_00009',)",0,168
32,"('VNvb5oLOpLg_00010',)",0,294
19,"('VNvb5oLOpLg_00011',)",0,149
19,"('VNvb5oLOpLg_00012',)",0,221
19,"('VNvb5oLOpLg_00013',)",0,286
19,"('VNvb5oLOpLg_00014',)",0,246
15,"('VNvb5oLOpLg_00015',)",0,161
15,"('VNvb5oLOpLg_00016',)",0,255
19,"('VNvb5oLOpLg_00017',)",0,261
19,"('VNvb5oLOpLg_00018',)",0,255
19,"('VNvb5oLOpLg_00019',)",0,168
19,"('VNvb5oLOpLg_00020',)",0,231
15,"('VNvb5oLOpLg_00021',)",0,233
15,"('VNvb5oLOpLg_00022',)",0,184
15,"('VNvb5oLOpLg_00023',)",0,149
19,"('VNvb5oLOpLg_00024',)",0,174
19,"('VNvb5oLOpLg_00025',)",0,168
19,"('VNvb5oLOpLg_00026',)",0,242
19,"('VNvb5oLOpLg_00027',)",0,244
19,"('VNvb5oLOpLg_00028',)",0,102
19,"('VNvb5oLOpLg_00029',)",0,143
19,"('VNvb5oLOpLg_00030',)",0,259
19,"('VNvb5oLOpLg_00031',)",0,204
19,"('VNvb5oLOpLg_00032',)",0,277
29,"('VNvb5oLOpLg_00033',)",0,164
29,"('VNvb5oLOpLg_00034',)",0,269
19,"('VNvb5oLOpLg_00035',)",0,206
19,"('VNvb5oLOpLg_00036',)",0,277
19,"('VNvb5oLOpLg_00037',)",0,112
19,"('VNvb5oLOpLg_00038',)",0,201
19,"('VNvb5oLOpLg_00039',)",0,126
19,"('VNvb5oLOpLg_00040',)",0,241
29,"('VNvb5oLOpLg_00041',)",0,252
29,"('VNvb5oLOpLg_00042',)",0,248
19,"('VNvb5oLOpLg_00043',)",0,255
19,"('VNvb5oLOpLg_00044',)",0,257
29,"('VNvb5oLOpLg_00045',)",0,240
29,"('VNvb5oLOpLg_00046',)",0,277
19,"('VNvb5oLOpLg_00047',)",0,170
19,"('VNvb5oLOpLg_00048',)",0,227
19,"('VNvb5oLOpLg_00049',)",0,146
19,"('VNvb5oLOpLg_00050',)",0,209
19,"('VNvb5oLOpLg_00051',)",0,98
19,"('VNvb5oLOpLg_00052',)",0,191
19,"('VNvb5oLOpLg_00053',)",0,148
19,"('VNvb5oLOpLg_00054',)",0,255
19,"('VNvb5oLOpLg_00055',)",0,152
19,"('VNvb5oLOpLg_00056',)",0,248
19,"('VNvb5oLOpLg_00057',)",0,127
19,"('VNvb5oLOpLg_00058',)",0,214
19,"('VNvb5oLOpLg_00059',)",0,363
19,"('VNvb5oLOpLg_00060',)",0,245
29,"('VNvb5oLOpLg_00061',)",0,113
29,"('VNvb5oLOpLg_00062',)",0,204
31,"('VNvb5oLOpLg_00063',)",0,247
31,"('VNvb5oLOpLg_00064',)",0,190
19,"('VNvb5oLOpLg_00065',)",0,155
19,"('VNvb5oLOpLg_00066',)",0,265
15,"('VNvb5oLOpLg_00067',)",0,217
15,"('VNvb5oLOpLg_00068',)",0,218
46,"('VNvb5oLOpLg_00069',)",0,146
46,"('VNvb5oLOpLg_00070',)",0,213
15,"('VNvb5oLOpLg_00071',)",0,138
15,"('VNvb5oLOpLg_00072',)",0,252
19,"('VNvb5oLOpLg_00073',)",0,150
19,"('VNvb5oLOpLg_00074',)",0,227
17,"('VNvb5oLOpLg_00075',)",0,160
17,"('VNvb5oLOpLg_00076',)",0,249
15,"('VNvb5oLOpLg_00077',)",0,188
